date,code,usdprice
2020-12-15,Rice,0.9177
2020-12-15,Rice,0.9177
2021-01-15,Rice,0.9433
2021-02-15,Rice,1.0166
2021-03-15,Rice,1.0373
2021-04-15,Rice,1.0277
2021-05-15,Rice,1.034
2021-05-15,Rice,1.034
2021-06-15,Rice,1.0593
2021-06-15,Rice,1.0593
2021-07-15,Rice,1.0561
2021-08-15,Rice,1.0542
2021-09-15,Rice,1.1077
2021-10-15,Rice,1.1199
2021-11-15,Rice,1.128
2021-12-15,Rice,1.065
2021-12-15,Rice,1.065
2022-01-15,Rice,1.1094
2022-02-15,Rice,1.1057
2022-03-15,Rice,1.1935
2022-04-15,Rice,1.3386
2022-05-15,Rice,1.4688
2022-05-15,Rice,1.4688
2022-06-15,Rice,1.6806
2022-06-15,Rice,1.6806
2022-07-15,Rice,1.7406
2020-06-15,Sugar,0.5195
2020-07-15,Sugar,0.498
2020-08-15,Sugar,0.4999
2020-09-15,Sugar,0.492
2020-10-15,Sugar,0.6046
2020-11-15,Sugar,0.6688
2020-12-15,Sugar,0.7547
2021-01-15,Sugar,0.7669
2021-02-15,Sugar,0.8131
2021-03-15,Sugar,0.8485
2021-04-15,Sugar,0.8764
2021-05-15,Sugar,0.9041
2021-06-15,Sugar,0.946
2021-07-15,Sugar,0.9976
2021-08-15,Sugar,1.0427
2021-09-15,Sugar,1.0656
2021-10-15,Sugar,1.0165
2021-11-15,Sugar,1.0597
2021-12-15,Sugar,0.9688
2022-01-15,Sugar,0.9337
2022-02-15,Sugar,0.9218
2022-03-15,Sugar,1.0138
2022-04-15,Sugar,1.0069
2022-05-15,Sugar,0.9824
2022-06-15,Sugar,1.0998
2022-07-15,Sugar,1.1237
